model_name,num_features,descriptors,R2_train,R2_test,mae_train,mae_test,mse_train,mse_test,rmse_train,rmse_test,loo_r2,coefficient,intercept
MultiTaskLinear,4,"('BCUT2D_MWLOW', 'EState_VSA5', 'EState_VSA8', 'fr_aniline')",0.344560147659031,0.6674088436801753,4.6167810638983635,3.6221969179031985,33.53870333563774,15.570949986697354,5.79126094522063,3.946004306472226,-2.050972701343846,"[[312.4661113   -0.93896666   1.00366607 -31.46929374]
 [182.92007199  -0.44720949   0.68666302 -16.85633141]]",[-3129.69624972 -1833.90190482]
MultiTaskLasso,3,"('BCUT2D_MWLOW', 'EState_VSA8', 'fr_aniline')",0.306795357574777,0.5026730474283333,4.8736828353565445,4.234890568775734,35.47675473408,23.07624271476696,5.956236625091384,4.803773799292277,-0.16910108992209194,"[[221.08597173   0.55921226 -18.06988757]
 [131.25337276   0.4559063   -9.96677491]]",[-2212.15170821 -1315.0710126 ]
MultiTaskLinear,2,"('BCUT2D_MWLOW', 'EState_VSA8')",0.15743481591149144,0.4004712823166462,5.679699214282137,4.170033712905189,43.38363791255534,27.769595035653715,6.58662568486743,5.269686426691224,-0.31955554658106244,"[[155.54397184   0.30949502]
 [ 96.93825391   0.32169858]]",[-1553.36901157  -970.14874035]
MultiTaskLinear,3,"('BCUT2D_MWLOW', 'EState_VSA8', 'fr_aniline')",0.3260991786767399,0.32061917801053336,4.745667427099064,5.022171638795294,34.51961806815529,31.93715262136489,5.875339825759467,5.651296543392931,-0.20653293536657014,"[[291.6135988    0.72516137 -22.60954618]
 [172.98847173   0.55401726 -12.63662545]]",[-2920.72915302 -1734.37540067]
GaussianProcess,3,"('BCUT2D_MWLOW', 'EState_VSA5', 'fr_aniline')",0.32146349279903047,0.21221177745047698,4.53388646285806,4.924971231630878,35.150020987164076,36.19443313324581,5.928745313062796,6.016180942528725,-189.47052510097365,,
GaussianProcess,2,"('BCUT2D_MWLOW', 'EState_VSA5')",0.30425853526696467,0.19008548342898346,4.662597550938575,4.958144554357915,35.66880203976616,37.19081000258298,5.972336397069924,6.09842684653862,-189.4361436447598,,
GaussianProcess,2,"('BCUT2D_MWLOW', 'fr_aniline')",0.11987582970016986,0.06322983004568222,5.441162631386206,5.406769180297852,43.17988806561862,43.505594330545634,6.571140545264469,6.595877070605973,-3.2189966664265173,,
GaussianProcess,1,"('BCUT2D_MWLOW',)",0.11505802888508371,0.03106805415087943,5.519169459844891,5.609379047155381,43.3448404074844,45.017021943476095,6.5836798530521214,6.7094725532992605,-3.183816171331057,,
GaussianProcess,2,"('EState_VSA5', 'fr_aniline')",0.16686068245321195,-0.11771886799485765,5.24193974805601,5.555730438348941,42.776033594241056,51.603526718364336,6.540338951020892,7.183559474130101,-0.5016617246126281,,
GaussianProcess,1,"('EState_VSA5',)",0.1563778529230851,-0.1335751392022555,5.385559827498085,5.604756450768624,43.45851220983724,52.415794592850446,6.5923070476000465,7.2398753161121805,-0.4945405931209582,,
RandomForestRegressor,2,"('BCUT2D_MWLOW', 'EState_VSA8')",0.7259667932832308,-0.22134717810652588,3.236342105263157,5.9955,13.869538973684206,56.714490000000005,3.724182994118872,7.530902336373776,-1.0001227510837125,,
RandomForestRegressor,3,"('BCUT2D_MWLOW', 'EState_VSA8', 'fr_aniline')",0.7245972245111731,-0.2310535899570435,3.2414210526315776,6.047499999999999,13.844211842105258,57.205459000000005,3.7207810795725753,7.563429050371267,-1.0005752454602947,,
MultiTaskLinear,3,"('EState_VSA5', 'EState_VSA8', 'fr_aniline')",0.06925036230944581,-0.2369112855104223,5.946701536725191,6.278432869388036,47.1974311809265,57.858496222743234,6.870038659347304,7.606477254468276,-0.7303020361457302,"[[-0.26019728  0.11550649 -7.72744735]
 [-0.04985266  0.16672755 -2.95767138]]",[9.16059331 3.60910492]
MLP,3,"('EState_VSA5', 'EState_VSA8', 'fr_aniline')",0.20802567733246918,-0.24794589865258965,5.29634799810313,6.523755762921861,41.54091660545515,58.822307652882174,6.445224325456419,7.669570239125669,-1.5174450527109578,,
GB,2,"('EState_VSA5', 'EState_VSA8')",0.5010884963972726,-0.2587832844108391,3.82310829714286,7.01028337444469,30.01425442612806,59.255696887673466,5.478526665639956,7.697772202895684,-0.8003056036741131,,
MultiTaskLinear,2,"('EState_VSA8', 'fr_aniline')",0.06831361779602124,-0.26281923480223035,5.954523075911052,6.5740628428651835,47.25778799612633,59.08174046922052,6.874430012453857,7.68646475756056,-0.24608142860791193,"[[ 0.05167539 -5.60918971]
 [ 0.15449779 -2.5518225 ]]",[9.01344752 3.58091243]
RandomForestRegressor,4,"('BCUT2D_MWLOW', 'EState_VSA5', 'EState_VSA8', 'fr_aniline')",0.7224929261952173,-0.26941190377084173,3.24828947368421,6.263874999999999,14.058215973684206,59.03684537500001,3.749428752981473,7.683543803154897,-1.025037267932551,,
RandomForestRegressor,3,"('BCUT2D_MWLOW', 'EState_VSA5', 'EState_VSA8')",0.7237665182995214,-0.278958958091733,3.244368421052631,6.261874999999998,13.969551578947362,59.451998625,3.7375863306347004,7.710512215475701,-1.023068973135933,,
Ridge,3,"('BCUT2D_MWLOW', 'EState_VSA8', 'fr_aniline')",0.06490355792317787,-0.29100741869670166,6.061044865716928,6.631397559186618,47.49333161855781,60.42548410242385,6.891540583828685,7.773383053884831,-0.22561027607884088,,
